news_date,n_articles,n_pred_climate,climate_share,climate_intensity_mean,climate_intensity_sum,avg_tone_score,log_n_articles,log_n_pred_climate,log_climate_intensity_sum,is_core_climate,is_policy_regulation,is_physical_risk,is_energy_geopolitics,is_cleantech,is_activism_litigation
2015-02-18,4,1,0.25,0.44659311237925126,1.786372449517005,0.25,1.6094379124341003,0.6931471805599453,1.0247405525376423,1.0,0.0,0.0,0.5,0.0,0.0
2015-02-19,3,3,1.0,0.6768144668626244,2.030443400587873,1.0,1.3862943611198906,1.3862943611198906,1.1087089456427695,1.0,0.0,0.0,0.0,0.0,0.0
2015-02-20,2,1,0.5,0.5191686394104479,1.0383372788208958,0.5,1.0986122886681098,0.6931471805599453,0.7121344161130917,1.0,0.0,0.0,0.5,0.0,0.0
2015-02-21,4,3,0.75,0.5738477384393996,2.2953909537575985,0.75,1.6094379124341003,1.3862943611198906,1.1925248115253302,0.75,0.0,0.25,0.25,0.0,0.0
2015-02-22,1,0,0.0,0.42148285748745806,0.42148285748745806,0.0,0.6931471805599453,0.0,0.3517005925831296,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-23,2,0,0.0,0.29350636624584664,0.5870127324916933,0.0,1.0986122886681098,0.0,0.4618534645062236,0.0,0.0,1.0,0.0,0.0,0.0
2015-02-24,4,1,0.25,0.3605693321563749,1.4422773286254995,0.25,1.6094379124341003,0.6931471805599453,0.89293093542607,0.0,0.0,1.0,0.0,0.0,0.0
2015-03-10,4,4,1.0,0.726828443679948,2.907313774719792,1.0,1.6094379124341003,1.6094379124341003,1.3628501237567574,1.0,1.0,0.5,1.0,0.0,0.0
2015-03-11,2,2,1.0,0.7048752214603917,1.4097504429207834,1.0,1.0986122886681098,1.0986122886681098,0.8795231914855478,0.5,0.5,0.5,0.5,0.5,0.0
2015-03-12,5,4,0.8,0.7294206688596603,3.6471033442983014,0.8,1.791759469228055,1.6094379124341003,1.5362440887835354,1.0,0.2,0.4,0.2,0.0,0.0
2015-03-13,2,2,1.0,0.6848659414012783,1.3697318828025566,1.0,1.0986122886681098,1.0986122886681098,0.8627768191282273,1.0,0.5,0.5,0.5,0.0,0.0
2015-03-15,3,1,0.3333333333333333,0.4823154474427249,1.4469463423281748,0.3333333333333333,1.3862943611198906,0.6931471805599453,0.8948408562790328,0.0,0.0,1.0,0.0,0.0,0.0
2015-03-17,2,2,1.0,0.5588379087012312,1.1176758174024624,1.0,1.0986122886681098,1.0986122886681098,0.7503191747477322,1.0,0.5,0.0,0.0,0.0,0.0
2015-03-18,2,1,0.5,0.5356717994558716,1.0713435989117432,0.5,1.0986122886681098,0.6931471805599453,0.7281974783148019,0.5,0.0,1.0,0.0,0.0,0.0
2015-03-19,1,1,1.0,0.6559702071409251,0.6559702071409251,1.0,0.6931471805599453,0.6931471805599453,0.5043870649443012,1.0,0.0,0.0,0.0,0.0,0.0
2015-03-20,2,1,0.5,0.4608940033562491,0.9217880067124982,0.5,1.0986122886681098,0.6931471805599453,0.6532560061882627,0.5,0.0,0.5,0.0,0.0,0.0
2015-03-21,2,1,0.5,0.5610830476214774,1.1221660952429549,0.5,1.0986122886681098,0.6931471805599453,0.752437310098912,1.0,0.0,0.5,0.0,0.0,0.0
