news_date,n_articles,avg_tone,avg_positivity,avg_negativity,n_climate,n_carbon,n_cleantech,n_energy,n_policy,n_transition,share_climate,share_carbon,share_cleantech,share_energy,share_policy,share_transition
2016-03-30,5466,-0.42580124432221339,2.2102972564770624,2.2704900976162556,5466,199,850,1926,3622,1926,1.0,0.036406878887669226,0.15550676911818515,0.35236004390779363,0.66264178558360776,0.35236004390779363
2016-03-31,6844,-0.87477737234526676,2.0626466857214822,2.7086396974559248,6844,358,896,2124,4485,2124,1.0,0.052308591466978374,0.13091759205143191,0.31034482758620691,0.65531852717708938,0.31034482758620691
2016-04-01,6700,-0.901705934486676,2.1040754339951939,2.6931648039637683,6700,194,784,2023,4549,2023,1.0,0.028955223880597014,0.11701492537313433,0.30194029850746268,0.678955223880597,0.30194029850746268
2016-04-02,3646,-0.68230990152596227,1.8391070462569132,2.3755508600292288,3646,109,455,896,2546,896,1.0,0.029895776193088315,0.12479429511793746,0.24574876577070762,0.69829950630828308,0.24574876577070762
2016-04-03,3099,-0.804667898703149,1.8212109231005109,2.4601006421262506,3099,102,509,1130,2114,1130,1.0,0.032913843175217811,0.16424653113907711,0.36463375282349147,0.68215553404323981,0.36463375282349147
2016-04-04,5440,-0.84835834375366792,2.0010620802225967,2.6087822820454156,5440,222,818,1726,3662,1726,1.0,0.040808823529411765,0.15036764705882352,0.31727941176470587,0.6731617647058824,0.31727941176470587
2016-04-05,5697,-1.0260368428864342,1.9965630508180645,2.8952188914372163,5697,281,865,1759,3940,1759,1.0,0.049324205722309986,0.15183429875373003,0.30875899596278744,0.691592065999649,0.30875899596278744
2016-04-06,6081,-0.88044067086301969,2.2209053920980732,2.7185015655467479,6081,298,916,2297,3936,2297,1.0,0.049005097845749052,0.15063311955270514,0.37773392534122679,0.64726196349284659,0.37773392534122679
2016-04-07,7161,-1.0126592263034417,2.3319635410500936,2.8771732282699523,7161,611,1121,2407,4831,2407,1.0,0.085323278871665964,0.15654238234883397,0.33612623935204583,0.67462644881999723,0.33612623935204583
2016-04-08,6201,-0.537239695147713,2.1590525671020586,2.4161274132193746,6201,265,1078,2143,4144,2143,1.0,0.042735042735042736,0.17384292855990968,0.34558942106111917,0.66827930978874373,0.34558942106111917
2016-04-09,3927,-0.81071797123707012,2.2605911010944246,3.026674007901049,3927,237,403,1158,2530,1158,1.0,0.060351413292589765,0.10262286732874969,0.29488158899923606,0.64425770308123254,0.29488158899923606
2016-04-10,2979,-0.63965045110111651,2.0544690417887606,2.4128747757635303,2979,320,423,1133,2059,1133,1.0,0.10741859684457872,0.1419939577039275,0.38032896945283651,0.69117153407183618,0.38032896945283651
2016-04-11,5657,-0.80596316849563443,2.1223732978459395,2.698506969914225,5657,244,725,2005,3726,2005,1.0,0.043132402333392258,0.12815980201520241,0.35442814212480112,0.65865299628778506,0.35442814212480112
2016-04-12,6764,-0.795906955212274,2.4538768149270411,2.6795728304395712,6764,274,931,2501,4786,2501,1.0,0.040508574807806029,0.13764044943820225,0.36975162625665287,0.70756948551153165,0.36975162625665287
2016-04-13,6800,-0.69481813932432623,2.6898613471500066,2.7200351155481997,6800,483,836,2376,4902,2376,1.0,0.071029411764705883,0.12294117647058823,0.34941176470588237,0.72088235294117642,0.34941176470588237
2016-04-14,5785,-0.60419083758724734,2.3535761175404875,2.7705562972022286,5785,221,669,1899,4011,1899,1.0,0.038202247191011236,0.11564390665514261,0.32826274848746761,0.69334485738980123,0.32826274848746761
2016-04-15,4245,-0.94334677226987407,2.0489572410577916,2.7846669824701928,4245,301,398,1172,2792,1172,1.0,0.070906949352179033,0.093757361601884567,0.27608951707891638,0.6577149587750295,0.27608951707891638
2016-04-16,3140,-0.70064112146471158,2.2767101578331355,2.8869929634118114,3140,543,368,740,2012,740,1.0,0.17292993630573247,0.11719745222929936,0.2356687898089172,0.640764331210191,0.2356687898089172
2016-04-17,2818,-0.60314521860724968,2.455493315891367,2.3387630668784056,2818,412,418,1185,1868,1185,1.0,0.14620298083747338,0.14833215046132009,0.42051100070972319,0.66288147622427251,0.42051100070972319
2016-04-18,6826,-0.827703791510558,2.1312646745374235,2.691225252909109,6826,1228,888,2217,4496,2217,1.0,0.17990038089657193,0.13009082918253737,0.32478757691180782,0.65865807207735128,0.32478757691180782
2016-04-19,8853,-1.0663512514830267,1.9274790928131056,2.8506421081599194,8853,695,948,2246,5631,2246,1.0,0.078504461764373659,0.10708234496780752,0.25369931096803344,0.63605557438156557,0.25369931096803344
2016-04-20,11777,-0.97615766059831865,2.1230122253019585,2.8498414795165159,11777,1252,1253,2842,7900,2842,1.0,0.10630890719198438,0.1063938184597096,0.24131782287509554,0.6707990150292944,0.24131782287509554
2016-04-21,12327,-0.60634844687859446,2.1001997709367695,2.6615196161730439,12327,1505,1695,3661,8252,3661,1.0,0.12208972174900624,0.13750304210270139,0.29699034639409427,0.669424839782591,0.29699034639409427
2016-04-22,19923,0.24950974406418863,2.2504746761996604,2.5881286096128537,19923,1532,3100,5902,13510,5902,1.0,0.076896049791698035,0.155599056367013,0.296240526025197,0.67811072629624047,0.296240526025197
2016-04-23,10225,-0.25615989048226767,2.4132455022976553,2.8197418423237921,10225,728,1289,2494,6422,2494,1.0,0.071198044009779957,0.1260635696821516,0.24391198044009779,0.62806845965770175,0.24391198044009779
2016-04-24,6878,-0.59281881855134722,2.1218493057360708,2.6962506285236296,6878,560,720,1605,4380,1605,1.0,0.081419017156150048,0.10468159348647862,0.23335271881360861,0.636813027042745,0.23335271881360861
2016-04-25,10519,-0.72189502803147854,1.8951762766694926,2.5192680792271145,10519,1513,1134,2708,6974,2708,1.0,0.1438349653008841,0.10780492442247362,0.25743892004943436,0.66299077859112088,0.25743892004943436
2016-04-26,11398,-0.71168629540530515,1.9795330257451171,2.4474704526106352,11398,1743,1180,2980,7506,2980,1.0,0.15292156518687489,0.10352693454992104,0.26144937708369892,0.65853658536585369,0.26144937708369892
2016-04-27,10880,-0.7883655863878537,1.8408114528870452,2.6263653816811185,10880,1754,1179,2761,7295,2761,1.0,0.16121323529411766,0.1083639705882353,0.25376838235294119,0.6704963235294118,0.25376838235294119
2016-04-28,10046,-1.0501986661703824,1.9500305104026703,2.9372511078527759,10046,1581,907,2417,6153,2417,1.0,0.15737607007764284,0.09028469042404938,0.24059327095361338,0.61248258013139556,0.24059327095361338
2016-04-29,9193,-0.817818340752828,1.9832808135180759,2.6857386763358138,9193,1234,944,2505,5773,2505,1.0,0.13423256825845753,0.10268682693353638,0.27248993799630156,0.62797780920265422,0.27248993799630156
2016-04-30,5489,-1.1203725288225312,1.7253986473320606,2.939749087574075,5489,798,647,1234,3616,1234,1.0,0.14538167243578065,0.11787210785206777,0.22481326288941519,0.65877208963381306,0.22481326288941519
2016-05-01,4257,-0.64884356025235623,1.675364664734261,2.5738065913978807,4257,583,470,1001,2781,1001,1.0,0.13695090439276486,0.11040638947615691,0.23514211886304909,0.653276955602537,0.23514211886304909
2016-05-02,7312,-0.8982007573523042,1.7461551321532629,2.7188905376978143,7312,793,804,1625,4703,1625,1.0,0.10845185995623632,0.10995623632385121,0.22223741794310722,0.64318927789934355,0.22223741794310722
2016-05-03,11223,-1.140624319588522,1.7150475821641236,2.8217771176751558,11223,1815,969,2457,7504,2457,1.0,0.16172146484897088,0.0863405506549051,0.21892542101042503,0.66862692684665415,0.21892542101042503
2016-05-04,9351,-1.3077243458391983,1.9901028803501157,2.8939804022995954,9351,1137,844,2052,6267,2052,1.0,0.12159127366057106,0.090257726446369368,0.21944177093359,0.67019570099454606,0.21944177093359
2016-05-05,10294,-0.92686942839121356,1.843064294270677,2.6674969250875056,10294,1445,1690,3030,6978,3030,1.0,0.14037303283466096,0.16417330483776957,0.29434622109966974,0.677870604235477,0.29434622109966974
2016-05-06,8689,-0.885139799380244,1.9433851910840483,2.6886994197379437,8689,1347,829,2063,5619,2063,1.0,0.15502359304868224,0.095407987110139258,0.23742663137300035,0.64667970997813329,0.23742663137300035
2016-05-07,5707,-0.96540352348395087,2.1410814080238461,2.5794310715466318,5707,1148,373,1180,3425,1180,1.0,0.20115647450499385,0.065358331873138248,0.20676362362011566,0.60014017872787806,0.20676362362011566
2016-05-08,6528,-1.3317079812753705,1.9704706719136662,2.8643848979276707,6528,996,786,1932,4472,1932,1.0,0.15257352941176472,0.12040441176470588,0.29595588235294118,0.68504901960784315,0.29595588235294118
2016-05-09,9049,-0.82036521356105019,2.1442161150682719,2.6164038099552682,9049,1164,792,2051,5895,2051,1.0,0.12863299812133938,0.087523483257818543,0.22665487899215384,0.65145319924853573,0.22665487899215384
2016-05-10,10219,-1.018154320021724,2.0567750014328134,2.7203481165651735,10219,1416,816,2152,6233,2152,1.0,0.13856541735981995,0.079851257461591149,0.21058812016831394,0.60994226440943344,0.21058812016831394
2016-05-11,9860,-1.0617773030591342,2.0623844179761184,2.787977150549676,9860,1374,1021,2328,6669,2328,1.0,0.13935091277890466,0.10354969574036511,0.236105476673428,0.676369168356998,0.236105476673428
2016-05-12,9460,-0.96478219746756411,1.9505349704002566,2.7339323675472689,9460,1318,1100,2837,6106,2837,1.0,0.13932346723044398,0.11627906976744186,0.29989429175475685,0.6454545454545455,0.29989429175475685
2016-05-13,9218,-0.8264372047200671,1.8810676203026468,2.5771178065700413,9218,1138,1021,2873,6133,2873,1.0,0.1234541115209373,0.1107615534823172,0.31167281405944891,0.66532870470817962,0.31167281405944891
2016-05-14,6426,-1.1896433774171351,1.8735022703767132,2.7162912649047808,6426,684,889,1918,3922,1918,1.0,0.10644257703081232,0.1383442265795207,0.29847494553376908,0.610333022097728,0.29847494553376908
2016-05-15,5664,-1.3848687817143719,1.8791532904882107,2.7389412447847481,5664,635,426,1829,3550,1829,1.0,0.11211158192090395,0.075211864406779655,0.32291666666666669,0.62676553672316382,0.32291666666666669
2016-05-16,9232,-0.97321408567348822,2.0045710447389373,2.7993658695377976,9232,1010,805,2298,5667,2298,1.0,0.10940207972270365,0.087196707105719237,0.24891681109185443,0.61384315424610048,0.24891681109185443
2016-05-17,9784,-0.96448896797900174,2.0248742383502112,2.7307621723076436,9784,1330,1016,2445,6449,2445,1.0,0.13593622240392478,0.10384300899427637,0.24989779231398201,0.65913736713000814,0.24989779231398201
2016-05-18,11202,-0.87957406614643663,2.1599198732467149,2.6967266953304709,11202,1434,1120,2672,6961,2672,1.0,0.1280128548473487,0.099982146045349038,0.23852883413676129,0.62140689162649532,0.23852883413676129
2016-05-19,9776,-0.69814621134165877,2.2311538295510989,2.7240930675699984,9776,1179,837,2366,5964,2366,1.0,0.12060147299509001,0.0856178396072013,0.24202127659574468,0.61006546644844517,0.24202127659574468
2016-05-20,9311,-0.77063389887424349,2.2461256537597079,2.835484912966149,9311,1196,813,2624,6118,2624,1.0,0.12845022016969176,0.087316077757491145,0.28181720545591238,0.65707228009880791,0.28181720545591238
2016-05-21,5998,-1.1483624804724506,2.3074130881057298,3.139387817556508,5998,558,443,1180,3377,1180,1.0,0.093031010336778922,0.073857952650883629,0.19673224408136045,0.56302100700233415,0.19673224408136045
2016-05-22,5509,-0.79965471259495491,2.4690416081377911,3.0170250845582971,5509,530,390,1008,3430,1008,1.0,0.096206208023234707,0.070793247413323657,0.18297331639135958,0.62261753494282079,0.18297331639135958
2016-05-23,10359,-1.1254920098808248,2.00440380461322,2.8428327574450707,10359,1196,910,2553,6795,2553,1.0,0.11545515976445603,0.0878463172120861,0.246452360266435,0.65595134665508259,0.246452360266435
2016-05-24,11998,-1.1503855030685919,1.9106825478531066,2.8562410408191554,11998,1427,1112,2972,7862,2972,1.0,0.11893648941490248,0.09268211368561427,0.24770795132522086,0.65527587931321885,0.24770795132522086
2016-05-25,11748,-0.81953729470405245,2.0266984066802736,2.4962368327391298,11748,1283,1081,3133,7721,3133,1.0,0.10921007831120191,0.092015662240381338,0.26668369084099419,0.65721824991487909,0.26668369084099419
2016-05-26,12394,-0.826421034327903,1.9302043871338832,2.6685333556598168,12394,1432,1355,3256,8345,3256,1.0,0.11553977731160239,0.10932709375504276,0.26270776182023559,0.6733096659674036,0.26270776182023559
2016-05-27,12010,-1.0740253794353039,1.8850198599111672,2.7834628484460495,12010,1347,1261,3397,8519,3397,1.0,0.11215653621981682,0.10499583680266444,0.28284762697751875,0.70932556203164032,0.28284762697751875
2016-05-28,6198,-1.0413951808687907,1.9867600071959162,2.5920092241004662,6198,698,484,1276,4091,1276,1.0,0.11261697321716682,0.078089706356889318,0.20587286221361731,0.660051629557922,0.20587286221361731
2016-05-29,5206,-0.94218854469266811,1.9359327437419487,2.9492074652267015,5206,534,481,1035,3431,1035,1.0,0.10257395313100269,0.0923933922397234,0.19880906646177487,0.65904725316941992,0.19880906646177487
2016-05-30,9338,-1.3032894456936883,1.977499054415911,3.0456173333082277,9338,1201,800,1830,6132,1830,1.0,0.12861426429642323,0.085671449989291062,0.19597344185050333,0.656671664167916,0.19597344185050333
2016-05-31,10167,-1.133339889411445,2.0597194392547027,2.9330461053255821,10167,1330,1011,2276,6492,2276,1.0,0.13081538310219337,0.099439362643847742,0.2238615127372873,0.63853644142814991,0.2238615127372873
2016-06-01,9411,-0.879732922788226,1.9736348882226293,2.9520757880068764,9411,1006,1161,2442,6030,2442,1.0,0.10689618531505685,0.12336627350972267,0.25948358304112207,0.64073956008925725,0.25948358304112207
2016-06-02,10496,-1.0654266659324123,1.9822905984901629,2.986539783803376,10496,1078,1001,2762,6586,2762,1.0,0.10270579268292683,0.095369664634146339,0.26314786585365851,0.62747713414634143,0.26314786585365851
2016-06-03,11053,-1.0203457618402818,2.0884033027312969,2.9735927113594252,11053,1030,1015,2449,6645,2449,1.0,0.09318736994481136,0.091830272324255863,0.22156880484936217,0.60119424590608883,0.22156880484936217
2016-06-04,7649,-1.0125707012493554,1.9608858070129265,2.729318500932802,7649,684,654,1521,4825,1521,1.0,0.089423454046280562,0.085501372728461242,0.19884952281343968,0.63080141194927442,0.19884952281343968
2016-06-05,7722,-1.0681552606672735,1.9772975832651183,2.8269236873743875,7722,636,628,1440,4596,1440,1.0,0.082362082362082367,0.081326081326081323,0.18648018648018649,0.5951825951825952,0.18648018648018649
2016-06-06,10122,-0.92688018788524107,1.9904762651515771,2.8239272201624788,10122,1374,1105,2644,6402,2644,1.0,0.13574392412566685,0.10916814858723572,0.26121319897253509,0.63248369887374034,0.26121319897253509
2016-06-07,11445,-0.59974600083536733,1.959845981615338,2.6651481489325244,11445,1503,1305,3168,7409,3168,1.0,0.13132372214941021,0.11402359108781127,0.27680209698558322,0.64735692442114456,0.27680209698558322
2016-06-08,11371,-0.614884727062449,1.9209717731564195,2.8291808707632624,11371,1564,1392,3097,7684,3097,1.0,0.13754287221880221,0.12241667399525108,0.27235951103684813,0.67575411133585439,0.27235951103684813
2016-06-09,10231,-0.8752513110289829,1.9619656064136333,2.8621393937338024,10231,1137,1250,2529,6344,2529,1.0,0.11113283159026488,0.12217769523995699,0.24718991300948098,0.62007623888182972,0.24718991300948098
2016-06-10,8733,-0.79411371637729822,2.0170924180703325,2.6252254069472998,8733,1122,1073,2084,5355,2084,1.0,0.12847818619031262,0.12286728501087828,0.23863506240696208,0.61319134318103741,0.23863506240696208
2016-06-11,4547,-0.89261624723530941,1.8963452936726395,2.7374706579166146,4547,620,519,1253,2710,1253,1.0,0.13635363976248074,0.11414119199472179,0.27556630745546512,0.59599736089729494,0.27556630745546512
2016-06-12,4706,-0.80041216816529093,1.8176326018552662,2.7764869948048756,4706,775,528,1175,2931,1175,1.0,0.16468338291542711,0.11219719507012324,0.24968125796855078,0.62282192945176373,0.24968125796855078
2016-06-13,8393,-0.804177155378499,1.9201265126101432,2.9117034925898735,8393,1116,900,1948,5233,1948,1.0,0.13296794948171095,0.10723221732396045,0.23209817705230548,0.62349577028476111,0.23209817705230548
2016-06-14,11148,-1.1386244518053736,1.8027523595189898,3.1466791223605806,11148,1221,876,2726,7139,2726,1.0,0.10952637244348762,0.078579117330462869,0.24452816648726228,0.640383925367779,0.24452816648726228
2016-06-15,9697,-0.97173000371804952,2.0277683031273357,2.9625625316363728,9697,1093,914,2231,5909,2231,1.0,0.11271527276477261,0.09425595545013922,0.23007115602763742,0.60936372073837264,0.23007115602763742
2016-06-16,10167,-0.84139398906206908,1.9537138700060044,2.795730078024409,10167,1066,945,2465,6639,2465,1.0,0.10484902134356251,0.092947772204190024,0.24245106717812531,0.65299498377102394,0.24245106717812531
2016-06-17,8894,-0.96836176912653649,2.0541555436890078,2.777667406455496,8894,1130,1239,2247,5863,2247,1.0,0.12705194513154935,0.13930739824600855,0.25264223071733755,0.65920845513829551,0.25264223071733755
2016-06-18,6333,-0.76836838191238777,1.7970670936469166,2.7599685781635226,6333,512,842,1750,3995,1750,1.0,0.080846360334754466,0.13295436601926416,0.27633033317543026,0.63082267487762511,0.27633033317543026
2016-06-19,5412,-1.2731916108271539,1.7472349262117359,3.1661822408787907,5412,465,838,1302,3245,1302,1.0,0.08592017738359202,0.15484109386548411,0.24057649667405764,0.59959349593495936,0.24057649667405764
2016-06-20,8525,-0.94871126970542519,1.9780014398318928,2.906248342353507,8525,1087,1067,2211,5135,2211,1.0,0.12750733137829912,0.12516129032258064,0.2593548387096774,0.60234604105571843,0.2593548387096774
2016-06-21,10354,-1.08612087439265,2.0034640715725427,2.8938275491340386,10354,1298,1213,2619,6663,2619,1.0,0.1253621788680703,0.11715279119180994,0.2529457214603052,0.6435194127873286,0.2529457214603052
2016-06-22,11468,-0.71144557397267172,2.1680135185242513,2.7858559904398676,11468,1398,1395,3079,7707,3079,1.0,0.12190442971747471,0.1216428322288106,0.26848622253226367,0.67204394837809556,0.26848622253226367
2016-06-23,10416,-1.1718341576510867,1.97164343254896,3.0806143621561772,10416,992,1178,2257,6835,2257,1.0,0.095238095238095233,0.1130952380952381,0.21668586789554531,0.65620199692780334,0.21668586789554531
2016-06-24,10852,-0.74333761796788278,1.8190764439585225,2.649794959650726,10852,988,1184,2139,7566,2139,1.0,0.091043125691116847,0.10910431256911168,0.1971065241430151,0.697198673055658,0.1971065241430151
2016-06-25,5591,-1.0418915348273894,1.9119523745653557,2.4905831302045978,5591,876,380,1356,3855,1356,1.0,0.15668037918082633,0.067966374530495435,0.24253264174566266,0.68950098372384194,0.24253264174566266
2016-06-26,4669,-1.0708526286390521,1.9674916217471607,2.6376223940219248,4669,471,439,1047,3021,1047,1.0,0.10087813236239024,0.094024416363246946,0.22424502034696936,0.64703362604412085,0.22424502034696936
2016-06-27,9802,-0.81935209258141484,1.8192054902792829,2.6399074689565767,9802,1085,1102,2955,6409,2955,1.0,0.11069169557233217,0.11242603550295859,0.3014690879412365,0.65384615384615385,0.3014690879412365
2016-06-28,10475,-0.83137422360196445,2.0492856553651277,2.8667450635374414,10475,1126,1461,2960,6942,2960,1.0,0.10749403341288782,0.13947494033412888,0.28257756563245823,0.66272076372315036,0.28257756563245823
2016-06-29,10840,-0.701733461745682,2.032274236650673,2.5630437553919472,10840,1532,1966,3560,7423,3560,1.0,0.14132841328413284,0.18136531365313655,0.32841328413284132,0.68477859778597783,0.32841328413284132
2016-06-30,11430,-0.80651440585744227,2.2848227463215425,2.77927208348105,11430,1524,1500,3417,7562,3417,1.0,0.13333333333333333,0.13123359580052493,0.29895013123359582,0.66159230096237975,0.29895013123359582
2016-07-01,9664,-1.0376082984597628,1.9592234791531464,2.8066930301847481,9664,1327,1246,2142,5980,2142,1.0,0.13731374172185432,0.128932119205298,0.22164735099337748,0.61879139072847678,0.22164735099337748
2016-07-02,5387,-1.014987594862049,1.9608800859387532,2.566996800586673,5387,598,488,990,3548,990,1.0,0.11100798217932059,0.090588453684796733,0.18377575645071467,0.65862260998700572,0.18377575645071467
2016-07-03,4912,-1.2938402810886986,1.9361457183847028,3.1148564326497317,4912,482,488,981,3088,981,1.0,0.0981270358306189,0.0993485342019544,0.19971498371335505,0.62866449511400646,0.19971498371335505
2016-07-04,7866,-0.79300527748937255,1.843498998538355,2.8115118448094476,7866,1228,851,1831,5131,1831,1.0,0.15611492499364352,0.10818713450292397,0.23277396389524535,0.65230104246122556,0.23277396389524535
2016-07-05,9221,-0.63666536362976844,2.105735949559072,2.6657222285771862,9221,1411,1128,2127,5828,2127,1.0,0.15302027979611757,0.12232946535082963,0.23066912482377183,0.63203557097928642,0.23066912482377183
