news_date,first_timestamp_utc,last_timestamp_utc,n_articles_climate,n_urls_climate,n_sources_climate,n_articles_total,n_urls_total,n_sources_total,avg_tone,avg_positivity,avg_negativity,n_core_climate,n_policy_regulation,n_physical_risk,n_energy_geopolitics,n_cleantech,n_activism_litigation,share_total_climate,share_core_climate,share_policy,share_physical,share_energy,share_cleantech,share_activism,log_n_articles_climate,log_n_articles_total,log_n_sources_total
19/02/2015,2015-02-19 00:15:00+00:00,2015-02-19 23:45:00+00:00,285,285,229,527665,515741,17882,0.534510135,2.837943203,2.303433068,270,280,77,115,285,70,0.000540115,0.000511688,0.00053064,0.000145926,0.000217941,0.000540115,0.00013266,5.655991811,13.17621879,9.79160582
20/02/2015,2015-02-20 00:15:00+00:00,2015-02-20 23:45:00+00:00,216,216,157,567931,552282,17823,0.621982227,2.96526605,2.343283823,202,214,66,65,216,65,0.000380328,0.000355677,0.000376806,0.000116211,0.000114451,0.000380328,0.000114451,5.379897354,13.24975697,9.788301143
21/02/2015,2015-02-21 00:15:00+00:00,2015-02-21 23:45:00+00:00,98,98,73,382958,368774,13695,-0.630480156,2.501397591,3.131877747,91,98,44,41,98,42,0.000255903,0.000237624,0.000255903,0.000114895,0.000107061,0.000255903,0.000109673,4.59511985,12.85568321,9.524859098
22/02/2015,2015-02-22 00:30:00+00:00,2015-02-22 23:30:00+00:00,159,159,126,353770,339505,12648,-0.684614668,2.559518786,3.244133454,146,155,69,45,159,47,0.000449445,0.000412698,0.000438138,0.000195042,0.000127201,0.000449445,0.000132855,5.075173815,12.77640509,9.44533344
23/02/2015,2015-02-23 00:15:00+00:00,2015-02-23 23:45:00+00:00,361,361,289,570862,553259,17762,-0.348338422,2.766001438,3.11433986,343,355,94,86,361,79,0.000632377,0.000600846,0.000621867,0.000164663,0.000150649,0.000632377,0.000138387,5.891644212,13.25490453,9.784872921
24/02/2015,2015-02-24 00:15:00+00:00,2015-02-24 23:45:00+00:00,281,281,226,635521,613430,18404,0.188851792,2.741757563,2.552905771,273,279,83,93,281,74,0.000442157,0.000429569,0.00043901,0.000130602,0.000146337,0.000442157,0.00011644,5.641907071,13.36220199,9.820377646
25/02/2015,2015-02-25 00:15:00+00:00,2015-02-25 23:45:00+00:00,309,309,240,648619,622043,18653,0.052034223,2.732706153,2.68067193,300,306,101,101,309,95,0.000476397,0.000462521,0.000471772,0.000155715,0.000155715,0.000476397,0.000146465,5.736572297,13.38260231,9.833815879
26/02/2015,2015-02-26 00:15:00+00:00,2015-02-26 23:30:00+00:00,492,491,343,637931,609741,18517,0.137325714,2.631941976,2.494616262,462,478,166,120,492,165,0.000771243,0.000724216,0.000749297,0.000260216,0.000188108,0.000771243,0.000258649,6.200509174,13.36598697,9.826498511
27/02/2015,2015-02-27 00:15:00+00:00,2015-02-27 23:45:00+00:00,400,399,285,607104,581434,18067,0.402022635,2.788942468,2.386919833,386,380,110,149,400,128,0.000658866,0.000635805,0.000625922,0.000181188,0.000245427,0.000658866,0.000210837,5.993961427,13.31645704,9.801897697
28/02/2015,2015-02-28 00:15:00+00:00,2015-02-28 23:30:00+00:00,170,170,144,399018,376849,13866,-0.412876302,2.55765088,2.970527182,164,165,81,55,170,50,0.000426046,0.000411009,0.000413515,0.000202998,0.000137838,0.000426046,0.000125308,5.141663557,12.89676431,9.537267196
01/03/2015,2015-03-01 00:15:00+00:00,2015-03-01 23:30:00+00:00,172,172,134,358146,341114,12985,0.078209696,2.68994751,2.611737813,168,170,56,61,172,59,0.000480251,0.000469082,0.000474667,0.000156361,0.000170322,0.000480251,0.000164737,5.153291594,12.7886988,9.471627133
02/03/2015,2015-03-02 00:30:00+00:00,2015-03-02 23:45:00+00:00,2215,2213,1441,587682,559729,18024,-0.973777387,2.423441593,3.397218981,2202,2166,1011,823,644,681,0.003769045,0.003746924,0.003685667,0.001720318,0.001400417,0.001095831,0.00115879,7.703459048,13.28394297,9.799514962
03/03/2015,2015-03-03 00:15:00+00:00,2015-03-03 23:45:00+00:00,3313,3300,1921,648384,617255,18604,-1.401432671,2.358880644,3.760313315,3297,3248,1546,1131,736,1056,0.005109626,0.00508495,0.005009377,0.002384389,0.001744337,0.00113513,0.001628664,8.105911198,13.38223993,9.831185641
04/03/2015,2015-03-04 00:15:00+00:00,2015-03-04 23:45:00+00:00,4916,4898,2454,647457,615006,18796,-3.392296274,2.143509527,5.5358058,4890,4826,1445,2078,751,1242,0.007592782,0.007552625,0.007453777,0.002231808,0.00320948,0.001159923,0.001918274,8.500453867,13.38080921,9.841452562
05/03/2015,2015-03-05 00:15:00+00:00,2015-03-05 23:45:00+00:00,3827,3804,2196,632320,599996,18452,-2.838151429,2.199390713,5.037542142,3790,3765,1540,1659,706,1228,0.006052315,0.005993801,0.005954264,0.002435476,0.002623672,0.001116523,0.001942055,8.250097753,13.35715246,9.822982238
06/03/2015,2015-03-06 00:15:00+00:00,2015-03-06 23:45:00+00:00,2562,2552,1595,594240,563462,18098,-1.210024952,2.537643202,3.747668154,2538,2509,910,979,591,924,0.004311389,0.004271002,0.0042222,0.001531368,0.001647482,0.000994548,0.001554927,7.848933726,13.29504024,9.803611967
07/03/2015,2015-03-07 00:15:00+00:00,2015-03-07 23:45:00+00:00,1645,1639,1032,395786,375965,13953,-1.100482375,2.604154083,3.704636458,1631,1608,566,730,495,699,0.004156286,0.004120914,0.004062802,0.001430066,0.001844431,0.001250676,0.001766106,7.406103381,12.88863147,9.543521484
08/03/2015,2015-03-08 00:15:00+00:00,2015-03-08 23:45:00+00:00,1359,1351,910,361207,342704,12924,-0.83967757,2.456593275,3.296270844,1351,1324,677,579,374,588,0.003762386,0.003740238,0.003665488,0.001874272,0.001602959,0.001035417,0.001627875,7.215239979,12.79720925,9.466918699
09/03/2015,2015-03-09 00:15:00+00:00,2015-03-09 23:45:00+00:00,3894,3867,2094,599848,569706,18012,-0.986129055,2.184168194,3.170297249,3877,3839,1170,1815,1647,1557,0.006491645,0.006463304,0.006399955,0.001950494,0.003025767,0.002745696,0.002595658,8.267448958,13.30443324,9.798848998
10/03/2015,2015-03-10 00:15:00+00:00,2015-03-10 23:45:00+00:00,2946,2922,1825,625148,595665,18591,-0.507741317,2.55975533,3.067496647,2930,2890,1044,1151,844,1191,0.004712484,0.00468689,0.004622905,0.001670005,0.001841164,0.00135008,0.001905149,7.988542983,13.3457453,9.83048666
11/03/2015,2015-03-11 00:15:00+00:00,2015-03-11 23:45:00+00:00,2591,2573,1587,640556,608485,18814,-0.683809884,2.664309796,3.34811968,2558,2540,878,1174,728,1047,0.004044923,0.003993406,0.003965305,0.001370684,0.001832783,0.001136513,0.001634518,7.860185057,13.37009339,9.842409703
12/03/2015,2015-03-12 00:15:00+00:00,2015-03-12 23:45:00+00:00,2825,2806,1708,645232,615160,18695,-0.77860715,2.532342646,3.310949797,2795,2767,1141,1082,779,1109,0.00437827,0.004331775,0.00428838,0.001768356,0.001676916,0.001207318,0.001718762,7.946617563,13.37736677,9.836064876
13/03/2015,2015-03-13 00:15:00+00:00,2015-03-13 23:45:00+00:00,2289,2273,1473,616849,586776,18379,-0.898892293,2.469715438,3.368607731,2276,2243,883,981,723,846,0.003710795,0.00368972,0.003636222,0.001431469,0.001590341,0.001172086,0.001371486,7.736307097,13.33238116,9.819018396
14/03/2015,2015-03-14 00:15:00+00:00,2015-03-14 23:45:00+00:00,2550,2542,1430,387988,368871,13800,-3.302351598,2.124763086,5.427114684,2546,2519,1776,537,1198,1390,0.006572368,0.006562059,0.006492469,0.004577461,0.001384063,0.003087724,0.003582585,7.844240718,12.86873227,9.532496332
15/03/2015,2015-03-15 00:15:00+00:00,2015-03-15 23:45:00+00:00,1819,1805,1133,371028,352938,12952,-2.303072806,2.361972596,4.665045402,1806,1781,1096,752,648,961,0.004902595,0.004867557,0.004800177,0.002953955,0.002026801,0.001746499,0.002590101,7.50659178,12.82403551,9.469082701
16/03/2015,2015-03-16 00:15:00+00:00,2015-03-16 23:45:00+00:00,3802,3773,1954,590881,562155,18043,-2.411919746,2.619713864,5.03163361,3770,3751,2421,1484,641,1665,0.00643446,0.006380303,0.006348148,0.004097272,0.002511504,0.001084821,0.002817826,8.243545508,13.28937161,9.800568499
17/03/2015,2015-03-17 00:15:00+00:00,2015-03-17 23:45:00+00:00,3701,3692,2047,635546,626154,18965,-1.229478684,2.61409778,3.843576463,3687,3611,1894,1257,894,1462,0.005823339,0.005801311,0.005681729,0.002980115,0.001977827,0.001406665,0.002300384,8.216628493,13.36224132,9.850403181
18/03/2015,2015-03-18 00:15:00+00:00,2015-03-18 23:45:00+00:00,3217,3217,1692,641551,641269,19110,-0.972642482,2.538933121,3.511575602,3212,3104,1323,1202,972,1037,0.00501441,0.005006617,0.004838275,0.00206219,0.001873584,0.001515078,0.001616395,8.076515328,13.37164552,9.858019364
19/03/2015,2015-03-19 00:15:00+00:00,2015-03-19 23:45:00+00:00,4235,4235,2126,643667,643426,19151,-1.269983809,2.27923801,3.54922182,4217,4143,1529,1947,1657,1357,0.006579489,0.006551524,0.006436558,0.002375452,0.003024856,0.002574312,0.002108233,8.351374707,13.37493834,9.860162428
20/03/2015,2015-03-20 00:15:00+00:00,2015-03-20 23:45:00+00:00,4146,4146,2161,610429,610203,18567,-1.152866882,2.464361932,3.617228814,4127,3876,2184,1885,1054,1661,0.006791945,0.006760819,0.006349633,0.003577812,0.003087992,0.001726655,0.002721037,8.33014046,13.32191891,9.829194948
21/03/2015,2015-03-21 00:15:00+00:00,2015-03-21 23:45:00+00:00,2728,2728,1390,382419,382275,13889,-1.152382905,2.583256989,3.735639894,2719,2658,1579,952,439,1345,0.007133537,0.007110002,0.006950491,0.004128979,0.002489416,0.001147956,0.003517085,7.911690521,12.85427476,9.538924436
22/03/2015,2015-03-22 00:15:00+00:00,2015-03-22 23:45:00+00:00,2589,2589,1416,352910,352766,13100,-1.671180643,2.24876629,3.919946933,2585,2506,1560,1053,530,1011,0.007336148,0.007324814,0.007100961,0.00442039,0.002983764,0.001501799,0.002864753,7.859413155,12.77397118,9.480443842
23/03/2015,2015-03-23 00:15:00+00:00,2015-03-23 23:45:00+00:00,3759,3759,2020,577456,577236,18806,-1.146432557,2.419464539,3.565897096,3744,3670,1790,1437,822,1365,0.006509587,0.006483611,0.006355463,0.003099803,0.002488501,0.001423485,0.002363816,8.232174236,13.26638926,9.84198442
24/03/2015,2015-03-24 00:15:00+00:00,2015-03-24 23:45:00+00:00,2992,2992,1720,609156,608897,18887,-0.527302004,2.515826812,3.043128815,2961,2842,1235,1031,693,1230,0.004911714,0.004860824,0.004665472,0.002027395,0.001692506,0.00113764,0.002019187,8.004031508,13.31983131,9.846282079
25/03/2015,2015-03-25 00:15:00+00:00,2015-03-25 23:45:00+00:00,3213,3213,1904,617010,616775,18462,-0.627179445,2.524273631,3.151453077,3191,3104,1064,1256,772,1278,0.005207371,0.005171715,0.005030713,0.001724445,0.002035623,0.001251195,0.002071279,8.075271546,13.33264213,9.823524008
26/03/2015,2015-03-26 00:15:00+00:00,2015-03-26 23:45:00+00:00,3522,3522,2023,616975,616682,18564,-0.530162328,2.623044272,3.1532066,3507,3402,1326,1381,909,1148,0.005708497,0.005684185,0.005514,0.002149196,0.00223834,0.001473317,0.001860691,8.167068178,13.3325854,9.829033367
27/03/2015,2015-03-27 00:15:00+00:00,2015-03-27 23:45:00+00:00,3195,3195,1939,588165,587959,18194,-0.06645607,2.732931978,2.799388047,3185,3041,1159,1161,797,1150,0.005432149,0.005415147,0.005170318,0.001970535,0.001973936,0.001355062,0.001955234,8.069655307,13.2847645,9.80890211
